Variable,Celebrity_N,Celebrity_Mean,Celebrity_SD,NonCel_N,NonCel_Mean,NonCel_SD,p_value,Sig
Market Cap ($B),24,57.607774848,38.3032972911592,69,10.831009686724638,12.760639282259511,4.129670395216461e-06,***
Beta,23,1.2706086956521738,0.2785344338318685,69,1.1618985507246375,0.380603126046926,0.14777825963022317,
Debt/Equity,24,87.08875,83.8267152249988,67,239.6979104477612,535.1124245194204,0.026859806494087982,**
Current Ratio,24,2.0223333333333335,1.8090574934182588,69,4.607362318840579,12.900569533678157,0.10956025159178752,
Debt/EBITDA,24,3.3580078044525337,2.2423156076332673,57,6.20699265514041,8.950260290345184,0.0281314800514747,**
CGS Score,24,0.8160306607448963,0.07681820914668068,69,0.39885505665431276,0.15591015926230134,1.9743918971990196e-28,***
