label,pre_alpha,pre_p,post_alpha,post_p
Top 20% cutoff,0.05282116707445192,0.10024125213420572,0.08495775532078878,0.058300655950316485
Top 30% cutoff,0.06503671408020986,0.05385635782457365,0.08571764364539125,0.056786160636120374
Placebo split 2018,0.039304908953260866,0.29447083118755013,,
Placebo split 2019,0.058826973271598124,0.09940654661141042,,
