label,alpha_ann,alpha_t,alpha_p,beta_mkt,beta_smb,beta_hml,r2,cum_ret,sharpe,n_months
Pre-COVID | Celebrity,0.05936767913397924,1.7041687134296237,0.08834957240215423,0.8323556221349512,0.3359099242469564,-0.008037176664456941,0.6779232588283253,1.0804724215160482,1.1392827336373963,60
Pre-COVID | Non-Celebrity,0.06459318173479145,2.242545265747647,0.024926153200293996,0.6210522312091814,0.35045593371674577,-0.10416266493725715,0.5020068871132646,0.9511156286073306,1.1300646727392454,60
Post-COVID | Celebrity,0.09055038064324632,2.0980074916679072,0.035904483583718776,1.1696330672099493,0.3247786583364282,0.257405371052168,0.8502789767120753,2.2162609733147742,1.024947593736168,62
Post-COVID | Non-Celebrity,-0.033318859510773735,-0.833849079301238,0.40436603459416065,1.2379584227745588,0.35559536527651714,0.4288536786437456,0.8794629645492062,0.7715406098757569,0.5510344109272438,62
