ticker,name,sector,industry,mcap,revenue,beta,de_ratio,cr_ratio,ebitda,total_debt
PDM,"Piedmont Realty Trust, Inc.",Real Estate,REIT - Office,1010778624,564993984,1.272,148.648,1.34,261710000.0,2224823040
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,24930367488,17311952896,1.341,18.453,7.55,3189655040.0,2396206080
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,131826737152,9376112640,1.412,59.828,0.247,6485576192.0,34669592576
PRIM,Primoris Services Corporation,Industrials,Engineering & Construction,8915934208,7574900224,1.39,56.568,1.262,505800000.0,950899968
PSA,Public Storage,Real Estate,REIT - Industrial,54011723776,4833717248,0.999,109.763,0.261,3406733056.0,10253881344
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,90693533696,28479696896,1.106,71.102,1.136,2497410048.0,6418954240
RC,Ready Capital Corporation,Real Estate,REIT - Mortgage,317972000,-58017000,1.499,360.711,7.524,,5957611008
REG,Regency Centers Corporation,Real Estate,REIT - Retail,15001389056,1611042944,0.922,69.389,0.618,1023337984.0,4983275008
RITM,Rithm Capital Corp.,Real Estate,REIT - Mortgage,5675186688,3780457984,1.19,432.765,1.021,,40051159040
SBRA,"Sabra Health Care REIT, Inc.",Real Estate,REIT - Healthcare Facilities,5084518400,775760000,0.652,89.864,1.805,447111008.0,2537555968
SKT,Tanger Inc.,Real Estate,REIT - Retail,4220005376,595142016,1.183,229.964,1.321,320079008.0,1690477952
SKY,"Champion Homes, Inc.",Consumer Cyclical,Residential Construction,4570045440,2636228096,1.114,7.481,2.715,308456992.0,119114000
SLG,SL Green Realty Corp,Real Estate,REIT - Office,3074159872,938187008,1.594,149.839,1.28,354297504.0,6535283200
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,78047035392,6364505088,1.403,435.463,0.236,4703565824.0,29199513600
STWD,"STARWOOD PROPERTY TRUST, INC. S",Real Estate,REIT - Mortgage,6938203136,547932032,1.093,297.045,10.721,,22247229440
SUI,"Sun Communities, Inc.",Real Estate,REIT - Residential,16470789120,2298500096,0.894,60.914,1.282,1009000000.0,4308299776
TMHC,Taylor Morrison Home Corporatio,Consumer Cyclical,Residential Construction,5968833536,8121480192,1.581,37.447,6.76,1204220032.0,2362631936
TOL,"Toll Brothers, Inc.",Consumer Cyclical,Residential Construction,14118207488,11253219328,1.485,33.896,4.472,1890153984.0,2854019072
TREX,"Trex Company, Inc.",Industrials,Building Products & Equipment,4376844800,1174267008,1.609,18.113,1.238,320217984.0,187334000
TT,Trane Technologies plc,Industrials,Building Products & Equipment,105785032704,21321900032,1.212,63.247,1.251,4212900096.0,5439799808
UDR,"UDR, Inc.",Real Estate,REIT - Residential,13184647168,1748904960,0.72,144.726,0.156,1035198016.0,6004332032
USLM,"United States Lime & Minerals, ",Basic Materials,Building Materials,3666613504,372727008,0.916,0.636,19.267,183078000.0,4013000
VMC,Vulcan Materials Company (Holdi,Basic Materials,Building Materials,38013255680,7941100032,1.095,57.785,2.686,2311300096.0,4940000256
VNO,Vornado Realty Trust,Real Estate,REIT - Office,5994961920,1864571008,1.512,116.655,1.478,788113024.0,7937825792
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,38890508288,5817438208,0.768,101.996,0.341,2213199872.0,13219617792
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,143107751936,10838034432,0.821,49.488,1.697,2664593920.0,21380294656
WPC,W. P. Carey Inc. REIT,Real Estate,REIT - Diversified,16075877376,1705649024,0.794,109.058,0.84,1414514944.0,8870966272
